DB00001 100 DB00001
DB00001 26 DB00002
DB00001 7 DB00004
DB00001 19 DB00005
DB00001 100 DB00006
DB00001 5 DB00007
DB00001 5 DB00008
DB00001 16 DB00009
DB00001 8 DB00010
DB00001 5 DB00011
DB00001 5 DB00012
DB00001 16 DB00013
DB00001 7 DB00014
DB00001 16 DB00015
DB00001 5 DB00016
DB00001 8 DB00017
DB00001 5 DB00018
DB00001 6 DB00019
DB00001 5 DB00020
DB00001 5 DB00021
DB00001 5 DB00022
DB00001 7 DB00024
DB00001 10 DB00025
DB00001 15 DB00026
DB00001 14 DB00028
DB00001 16 DB00029
DB00001 7 DB00030
DB00001 16 DB00031
DB00001 5 DB00032
DB00001 5 DB00033
DB00002 26 DB00001
DB00002 100 DB00002
DB00002 5 DB00004
DB00002 27 DB00005
DB00002 26 DB00006
DB00002 4 DB00007
DB00002 4 DB00008
DB00002 6 DB00009
DB00002 8 DB00010
DB00002 4 DB00011
DB00002 4 DB00012
DB00002 6 DB00013
DB00002 8 DB00014
DB00002 6 DB00015
DB00002 4 DB00016
DB00002 5 DB00017
DB00002 4 DB00018
DB00002 4 DB00019
DB00002 4 DB00020
DB00002 4 DB00021
DB00002 4 DB00022
DB00002 6 DB00024
DB00002 11 DB00025
DB00002 11 DB00026
DB00002 13 DB00028
DB00002 6 DB00029
DB00002 7 DB00030
DB00002 6 DB00031
DB00002 3 DB00032
DB00002 3 DB00033
DB00004 7 DB00001
DB00004 5 DB00002
DB00004 100 DB00004
DB00004 5 DB00005
DB00004 7 DB00006
DB00004 42 DB00007
DB00004 50 DB00008
DB00004 19 DB00009
DB00004 22 DB00010
DB00004 50 DB00011
DB00004 56 DB00012
DB00004 19 DB00013
DB00004 21 DB00014
DB00004 19 DB00015
DB00004 56 DB00016
DB00004 25 DB00017
DB00004 50 DB00018
DB00004 30 DB00019
DB00004 51 DB00020
DB00004 44 DB00021
DB00004 50 DB00022
DB00004 44 DB00024
DB00004 14 DB00025
DB00004 13 DB00026
DB00004 15 DB00028
DB00004 19 DB00029
DB00004 11 DB00030
DB00004 19 DB00031
DB00004 17 DB00032
DB00004 17 DB00033
DB00005 19 DB00001
DB00005 27 DB00002
DB00005 5 DB00004
DB00005 100 DB00005
DB00005 19 DB00006
DB00005 2 DB00007
DB00005 2 DB00008
DB00005 7 DB00009
DB00005 8 DB00010
DB00005 2 DB00011
DB00005 2 DB00012
DB00005 7 DB00013
DB00005 6 DB00014
DB00005 7 DB00015
DB00005 2 DB00016
DB00005 6 DB00017
DB00005 2 DB00018
DB00005 3 DB00019
DB00005 2 DB00020
DB00005 3 DB00021
DB00005 2 DB00022
DB00005 4 DB00024
DB00005 5 DB00025
DB00005 5 DB00026
DB00005 4 DB00028
DB00005 7 DB00029
DB00005 7 DB00030
DB00005 7 DB00031
DB00005 2 DB00032
DB00005 2 DB00033
DB00006 100 DB00001
DB00006 26 DB00002
DB00006 7 DB00004
DB00006 19 DB00005
DB00006 100 DB00006
DB00006 5 DB00007
DB00006 5 DB00008
DB00006 16 DB00009
DB00006 8 DB00010
DB00006 5 DB00011
DB00006 5 DB00012
DB00006 16 DB00013
DB00006 7 DB00014
DB00006 16 DB00015
DB00006 5 DB00016
DB00006 8 DB00017
DB00006 5 DB00018
DB00006 6 DB00019
DB00006 5 DB00020
DB00006 5 DB00021
DB00006 5 DB00022
DB00006 7 DB00024
DB00006 10 DB00025
DB00006 15 DB00026
DB00006 14 DB00028
DB00006 16 DB00029
DB00006 7 DB00030
DB00006 16 DB00031
DB00006 5 DB00032
DB00006 5 DB00033
DB00007 5 DB00001
DB00007 4 DB00002
DB00007 42 DB00004
DB00007 2 DB00005
DB00007 5 DB00006
DB00007 100 DB00007
DB00007 44 DB00008
DB00007 12 DB00009
DB00007 21 DB00010
DB00007 44 DB00011
DB00007 57 DB00012
DB00007 12 DB00013
DB00007 31 DB00014
DB00007 12 DB00015
DB00007 57 DB00016
DB00007 27 DB00017
DB00007 44 DB00018
DB00007 50 DB00019
DB00007 52 DB00020
DB00007 80 DB00021
DB00007 44 DB00022
DB00007 65 DB00024
DB00007 12 DB00025
DB00007 17 DB00026
DB00007 21 DB00028
DB00007 12 DB00029
DB00007 9 DB00030
DB00007 12 DB00031
DB00007 28 DB00032
DB00007 28 DB00033
DB00008 5 DB00001
DB00008 4 DB00002
DB00008 50 DB00004
DB00008 2 DB00005
DB00008 5 DB00006
DB00008 44 DB00007
DB00008 100 DB00008
DB00008 15 DB00009
DB00008 20 DB00010
DB00008 100 DB00011
DB00008 58 DB00012
DB00008 15 DB00013
DB00008 21 DB00014
DB00008 15 DB00015
DB00008 58 DB00016
DB00008 26 DB00017
DB00008 100 DB00018
DB00008 31 DB00019
DB00008 53 DB00020
DB00008 45 DB00021
DB00008 100 DB00022
DB00008 46 DB00024
DB00008 14 DB00025
DB00008 13 DB00026
DB00008 16 DB00028
DB00008 15 DB00029
DB00008 10 DB00030
DB00008 15 DB00031
DB00008 18 DB00032
DB00008 18 DB00033
DB00009 16 DB00001
DB00009 6 DB00002
DB00009 19 DB00004
DB00009 7 DB00005
DB00009 16 DB00006
DB00009 12 DB00007
DB00009 15 DB00008
DB00009 100 DB00009
DB00009 12 DB00010
DB00009 15 DB00011
DB00009 17 DB00012
DB00009 100 DB00013
DB00009 10 DB00014
DB00009 100 DB00015
DB00009 17 DB00016
DB00009 12 DB00017
DB00009 15 DB00018
DB00009 15 DB00019
DB00009 18 DB00020
DB00009 13 DB00021
DB00009 15 DB00022
DB00009 18 DB00024
DB00009 26 DB00025
DB00009 9 DB00026
DB00009 10 DB00028
DB00009 100 DB00029
DB00009 7 DB00030
DB00009 100 DB00031
DB00009 10 DB00032
DB00009 10 DB00033
DB00010 8 DB00001
DB00010 8 DB00002
DB00010 22 DB00004
DB00010 8 DB00005
DB00010 8 DB00006
DB00010 21 DB00007
DB00010 20 DB00008
DB00010 12 DB00009
DB00010 100 DB00010
DB00010 20 DB00011
DB00010 23 DB00012
DB00010 12 DB00013
DB00010 58 DB00014
DB00010 12 DB00015
DB00010 23 DB00016
DB00010 62 DB00017
DB00010 20 DB00018
DB00010 13 DB00019
DB00010 22 DB00020
DB00010 22 DB00021
DB00010 20 DB00022
DB00010 30 DB00024
DB00010 17 DB00025
DB00010 7 DB00026
DB00010 8 DB00028
DB00010 12 DB00029
DB00010 26 DB00030
DB00010 12 DB00031
DB00010 7 DB00032
DB00010 7 DB00033
DB00011 5 DB00001
DB00011 4 DB00002
DB00011 50 DB00004
DB00011 2 DB00005
DB00011 5 DB00006
DB00011 44 DB00007
DB00011 100 DB00008
DB00011 15 DB00009
DB00011 20 DB00010
DB00011 100 DB00011
DB00011 58 DB00012
DB00011 15 DB00013
DB00011 21 DB00014
DB00011 15 DB00015
DB00011 58 DB00016
DB00011 26 DB00017
DB00011 100 DB00018
DB00011 31 DB00019
DB00011 53 DB00020
DB00011 45 DB00021
DB00011 100 DB00022
DB00011 46 DB00024
DB00011 14 DB00025
DB00011 13 DB00026
DB00011 16 DB00028
DB00011 15 DB00029
DB00011 10 DB00030
DB00011 15 DB00031
DB00011 18 DB00032
DB00011 18 DB00033
DB00012 5 DB00001
DB00012 4 DB00002
DB00012 56 DB00004
DB00012 2 DB00005
DB00012 5 DB00006
DB00012 57 DB00007
DB00012 58 DB00008
DB00012 17 DB00009
DB00012 23 DB00010
DB00012 58 DB00011
DB00012 100 DB00012
DB00012 17 DB00013
DB00012 24 DB00014
DB00012 17 DB00015
DB00012 100 DB00016
DB00012 29 DB00017
DB00012 58 DB00018
DB00012 43 DB00019
DB00012 70 DB00020
DB00012 61 DB00021
DB00012 58 DB00022
DB00012 59 DB00024
DB00012 16 DB00025
DB00012 16 DB00026
DB00012 20 DB00028
DB00012 17 DB00029
DB00012 10 DB00030
DB00012 17 DB00031
DB00012 25 DB00032
DB00012 25 DB00033
DB00013 16 DB00001
DB00013 6 DB00002
DB00013 19 DB00004
DB00013 7 DB00005
DB00013 16 DB00006
DB00013 12 DB00007
DB00013 15 DB00008
DB00013 100 DB00009
DB00013 12 DB00010
DB00013 15 DB00011
DB00013 17 DB00012
DB00013 100 DB00013
DB00013 10 DB00014
DB00013 100 DB00015
DB00013 17 DB00016
DB00013 12 DB00017
DB00013 15 DB00018
DB00013 15 DB00019
DB00013 18 DB00020
DB00013 13 DB00021
DB00013 15 DB00022
DB00013 18 DB00024
DB00013 26 DB00025
DB00013 9 DB00026
DB00013 10 DB00028
DB00013 100 DB00029
DB00013 7 DB00030
DB00013 100 DB00031
DB00013 10 DB00032
DB00013 10 DB00033
DB00014 7 DB00001
DB00014 8 DB00002
DB00014 21 DB00004
DB00014 6 DB00005
DB00014 7 DB00006
DB00014 31 DB00007
DB00014 21 DB00008
DB00014 10 DB00009
DB00014 58 DB00010
DB00014 21 DB00011
DB00014 24 DB00012
DB00014 10 DB00013
DB00014 100 DB00014
DB00014 10 DB00015
DB00014 24 DB00016
DB00014 59 DB00017
DB00014 21 DB00018
DB00014 15 DB00019
DB00014 23 DB00020
DB00014 26 DB00021
DB00014 21 DB00022
DB00014 33 DB00024
DB00014 17 DB00025
DB00014 8 DB00026
DB00014 9 DB00028
DB00014 10 DB00029
DB00014 21 DB00030
DB00014 10 DB00031
DB00014 8 DB00032
DB00014 8 DB00033
DB00015 16 DB00001
DB00015 6 DB00002
DB00015 19 DB00004
DB00015 7 DB00005
DB00015 16 DB00006
DB00015 12 DB00007
DB00015 15 DB00008
DB00015 100 DB00009
DB00015 12 DB00010
DB00015 15 DB00011
DB00015 17 DB00012
DB00015 100 DB00013
DB00015 10 DB00014
DB00015 100 DB00015
DB00015 17 DB00016
DB00015 12 DB00017
DB00015 15 DB00018
DB00015 15 DB00019
DB00015 18 DB00020
DB00015 13 DB00021
DB00015 15 DB00022
DB00015 18 DB00024
DB00015 26 DB00025
DB00015 9 DB00026
DB00015 10 DB00028
DB00015 100 DB00029
DB00015 7 DB00030
DB00015 100 DB00031
