firstSim,secondSim,id1,id2
0.08196721,0.15756631,L,L
0.13636364,0.38417265,L,L
0.08411215,0.38481677,L,L
0.19827586,0.09105431,L,Multiple
0.08928572,0.30298913,L,L
0.084745765,0.09204368,L,L
0.042016808,0.26764706,L,L
0.084745765,0.6030205,L,L
0.0862069,0.4055118,L,L
0.19587629,0.1521739,L,L
0.08695652,0.34557822,L,L
0.17741935,0.2179676,L,Multiple
0.078125,0.18168168,L,L
0.09259259,0.54555553,L,L
0.052083332,0.43734014,L,L
0.2090909,0.14483821,L,Multiple
0.036649216,0.25178826,L,L
0.10526316,0.29784173,L,L
0.07692308,0.31983805,L,L
0.052083332,0.4925544,L,L
0.048543688,0.40330788,L,L
0.032467533,0.31086656,L,L
0.1119403,0.24297753,L,Multiple
0.12096774,0.17857143,L,L
0.125,0.15085536,L,Multiple
0.1474359,0.33287102,L,L
0.09259259,0.5809628,L,L
0.17460318,0.4048843,L,L
0.083333336,0.3727648,L,Multiple
0.09090909,0.5351955,L,L
0.24731183,0.16363636,L,Multiple
0.04621849,0.2987013,L,L
0.065789476,0.40076825,L,L
0.064935066,0.4080537,L,L
0.12068965,0.106153846,L,L
0.08411215,0.25504324,L,L
0.14285715,0.14622642,L,L
0.08196721,0.32142857,L,L
0.052083332,0.39668366,L,L
0.20212767,0.15085536,L,Multiple
0.084745765,0.4767025,L,L
0.052083332,0.47189695,L,L
0.20175439,0.23353294,L,Multiple
0.094339624,0.1593985,L,L
0.11666667,0.051036682,L,L
0.083333336,0.46437347,L,L
0.116504855,0.26895565,L,L
0.08196721,0.32262382,L,L
0.08196721,0.22238587,L,L
0.094339624,0.06984127,L,L
0.07042254,0.30569947,L,L
0.052083332,0.40330788,L,L
0.09090909,0.0192,L,L
0.08196721,0.19111112,L,L
0.08196721,0.28873238,L,L
0.084745765,0.4419753,L,L
0.07042254,0.17014925,L,L
0.049618322,0.20869565,L,L
0.07865169,0.4332085,L,L
0.084415585,0.1764706,L,L
