firstSim,secondSim,id1,id2
0.11627907,0.12403101,L01XX,L01XX
0.18518518,0.16923077,L01XX,Multiple
0.20512821,0.31129476,L01XX,L01XX
0.22857143,0.041297935,L01XX,L01XX
0.20512821,0.3057607,L01XX,L01XX
0.10169491,0.01754386,L01XX,L01XX
0.1954023,0.2874016,L01XX,L01XX
0.14193548,0.1375,L01XX,L01XX
0.09756097,0.0990566,N05CM,N05CM
0.09803922,0.09497207,N05CM,Multiple
0.02688172,0.07857143,N05CM,N05CM
0.072916664,0.20588236,Multiple,C01CA
0.048076924,0.38317758,Multiple,C01CA
0.28671327,0.4528302,Multiple,Multiple
0.8490566,0.10461538,Multiple,A08AA
0.072916664,0.43636364,Multiple,C01CA
0.04608295,0.328,Multiple,Multiple
0.072916664,0.36090225,Multiple,C01CA
0.057291668,0.19339623,Multiple,C01CA
0.05042017,0.33333334,Multiple,C01CA
0.5660377,0.32258064,Multiple,A08AA
0.033492822,0.5394737,Multiple,C01CA
0.032786883,0.34745762,Multiple,Multiple
0.05,0.26229507,Multiple,C01CA
0.8490566,0.46153846,Multiple,A08AA
0.5,0.3809524,Multiple,A08AA
0.5471698,0.4848485,Multiple,Multiple
0.072916664,0.78688526,Multiple,C01CA
0.5473684,0.47843137,N02AX,N02AX
0.972973,0.8909091,Multiple,Multiple
0.5945946,0.68421054,Multiple,Multiple
0.972973,0.25,Multiple,Multiple
0.5765766,0.3871951,Multiple,Multiple
0.972973,0.592233,Multiple,C07AB
0.13178295,0.39928058,Multiple,C07AB
0.972973,0.4911032,Multiple,S01ED
0.972973,0.5045045,Multiple,S01ED
0.7826087,0.54393303,Multiple,C07AB
0.5945946,0.45045045,Multiple,C07AB
0.972973,0.43150684,Multiple,C07AB
0.6028708,0.52538633,A10BG,A10BG
0.5119617,0.5592841,A10BG,A10BG
0.5,0.4848485,J05AH,J05AH
0.2125,0.14741036,Multiple,N02BE
0.0390625,0.41767555,G04BE,Multiple
0.017667845,0.24743778,G04BE,Multiple
0.10638298,0.1622465,G04BE,Multiple
0.8648649,0.504142,G04BE,G04BE
0.8888889,0.5900963,G04BE,G04BE
0.68292683,0.28505394,G04BE,Multiple
0.074074075,0.40463918,G04BE,G04BE
0.32380953,0.44444445,C01BD,C01BD
0.3483146,0.34626865,C01BD,C01BD
0.29032257,0.168,C01BD,C01BD
0.85714287,0.9564516,C02AA,C02AA
0.16216215,0.9695024,C02AA,C02AA
0.05319149,0.22222222,B01AC,B01AC
0.8333333,0.6775956,B01AC,B01AC
0.08219178,0.25170067,B01AC,B01AC
0.06593407,0.077922076,B01AC,Multiple
0.10714286,0.18924731,B01AC,B01AC
0.056818184,0.1865285,B01AC,B01AC
0.3,0.22789784,B01AC,B01AC
0.067567565,0.20042644,B01AC,B01AC
0.8333333,0.5292793,B01AC,B01AC
0.8333333,0.25889048,B01AC,B01AC
0.9375,0.3315508,G04BD,G04BD
0.9375,0.28057554,G04BD,G04BD
0.9375,0.47601476,G04BD,G04BD
0.9375,0.24848485,G04BD,G04BD
0.9375,0.2993197,G04BD,G04BD
0.9375,0.29476583,G04BD,G04BD
0.5322581,0.60264903,D10AD,Multiple
0.2994012,0.3484163,C01CA,C01CA
0.96153843,0.33333334,C01CA,C01CA
0.2840909,0.3277311,C01CA,Multiple
0.96153843,0.59134614,C01CA,C01CA
0.16763006,0.27531645,C01CA,C01CA
0.3478261,0.30038023,C01CA,C01CA
0.17486338,0.30882353,C01CA,C01CA
0.20512821,0.35526314,C01CA,Multiple
0.34408602,0.3003413,C01CA,C01CA
0.065789476,0.24267782,C01CA,Multiple
0.96153843,0.19907407,C01CA,C01CA
0.8888889,0.36941582,C09XA,C09XA
0.94736844,0.8654618,A02BC,Multiple
0.94736844,0.76528597,A02BC,A02BC
0.94736844,0.7457306,A02BC,Multiple
0.94736844,0.7592233,A02BC,A02BC
0.9166667,0.27688786,Multiple,C03CA
0.275,0.26785713,Multiple,C03CA
0.5942029,0.28189912,Multiple,N06AB
0.5857143,0.28603604,Multiple,N06AB
0.9111111,0.36312848,Multiple,N06AB
0.36283186,1.0,Multiple,N06AB
0.12244898,0.16513762,Multiple,N06AB
0.375,0.5093023,N02CC,N02CC
0.375,0.46715328,N02CC,N02CC
0.2857143,0.46171695,N02CC,N02CC
0.375,0.56345177,N02CC,N02CC
0.3482143,0.44772726,N02CC,N02CC
0.2857143,0.5395034,N02CC,N02CC
0.04761905,0.16783217,C02CC,Multiple
0.04761905,0.40462428,C02CC,C02CC
0.96428573,0.462,Multiple,Multiple
0.96428573,0.5435898,Multiple,J01MA
0.96428573,0.5692308,Multiple,Multiple
0.96428573,0.50751877,Multiple,J01MA
0.115384616,0.13053097,Multiple,Multiple
0.96428573,0.57323235,Multiple,Multiple
0.96428573,0.5435898,Multiple,Multiple
0.96428573,0.6369427,Multiple,Multiple
0.96428573,0.6333333,Multiple,Multiple
0.96428573,0.6253102,Multiple,J01MA
0.9375,0.42523363,A03AB,A03AB
0.78125,0.25,A03AB,A03AB
0.9375,0.43065694,A03AB,A03AB
0.90909094,0.43065694,A03AB,A03AB
0.9375,0.8605769,A03AB,A03AB
0.78125,0.32300884,A03AB,A03AB
0.9375,0.64253396,A03AB,A03AB
0.4864865,0.72794116,Multiple,Multiple
0.4864865,0.53571427,Multiple,R03AC
0.4864865,0.4525862,Multiple,R03AC
0.5945946,0.65189874,Multiple,Multiple
0.4864865,0.40977442,Multiple,R03AC
0.58666664,0.78911567,Multiple,Multiple
0.5945946,0.4394619,Multiple,Multiple
0.4864865,0.39455783,Multiple,Multiple
0.49438202,0.47191012,Multiple,Multiple
0.4864865,0.43103448,Multiple,R03CC
0.4864865,0.36615384,Multiple,R03AC
0.2897196,0.49014086,A10BB,A10BB
0.32743362,0.3915493,A10BB,A10BB
