firstSim,secondSim
0.14285715,0.2585034
0.14285715,0.071428575
0.14285715,0.19402985
0.6,0.9756098
0.14285715,0.054945055
0.13333334,0.05050505
0.3125,0.16346154
0.10526316,0.08
0.14285715,0.05050505
0.21428572,0.05376344
0.45454547,0.16346154
0.14285715,0.076271184
0.45454547,0.16346154
0.2,0.05376344
0.14285715,0.078947365
0.14285715,0.05952381
0.14285715,0.05263158
0.14285715,0.055555556
0.13333334,0.05050505
0.14285715,0.07446808
0.23076923,0.09821428
0.14285715,0.14772727
0.13333334,0.14285715
0.45454547,0.16346154
0.06896552,0.07027027
0.45454547,0.16346154
0.14285715,0.048780486
0.125,0.048780486
0.14285715,0.110091746
0.14285715,0.056818184
0.14285715,0.048780486
0.14285715,0.05319149
0.14285715,0.07
0.14285715,0.06122449
0.14285715,0.07692308
0.10526316,0.07027027
0.13333334,0.13020833
0.14285715,0.048780486
0.14285715,0.11627907
0.14285715,0.19402985
0.14285715,0.048780486
0.45454547,0.29565218
0.45454547,0.048780486
0.10526316,0.054945055
0.45454547,0.048780486
0.14285715,0.19402985
0.14285715,0.05376344
0.14285715,0.110091746
0.14285715,0.05050505
0.14285715,0.048780486
0.23076923,0.21568628
0.14285715,0.23140496
0.14285715,0.048780486
0.14285715,0.15384616
0.14285715,0.048780486
0.14285715,0.048780486
0.14285715,0.048780486
0.14285715,0.24509804
0.14285715,0.09756097
0.33333334,0.3398693
0.14285715,0.048780486
0.14285715,0.048780486
0.10526316,0.048780486
0.14285715,0.123595506
0.14285715,0.05376344
0.14285715,0.09638554
0.14285715,0.048780486
0.14285715,0.048780486
0.23076923,0.11965812
0.10526316,0.048780486
0.14285715,0.048780486
0.125,0.048780486
0.14285715,0.11627907
0.13333334,0.054347824
0.13333334,0.09756097
0.14285715,0.048780486
0.14285715,0.15384616
0.14285715,0.048780486
0.14285715,0.048780486
0.11764706,0.089108914
0.1875,0.048780486
0.14285715,0.048780486
0.23076923,0.048780486
0.23076923,0.048780486
0.08,0.056818184
0.23076923,0.048780486
0.083333336,0.048780486
0.13333334,0.08235294
0.10526316,0.1984127
0.14285715,0.056179777
0.13333334,0.056179777
0.14285715,0.048780486
0.14285715,0.048780486
0.1764706,0.114285715
0.14285715,0.14393939
0.0952381,0.048780486
0.14285715,0.054945055
0.14285715,0.125
0.08,0.048780486
0.14285715,0.056818184
0.14285715,0.14393939
0.21428572,0.048780486
0.14285715,0.108391605
0.06896552,0.048780486
0.14285715,0.048780486
0.13333334,0.040650405
0.14285715,0.048780486
0.14285715,0.14393939
0.23076923,0.16463415
0.14285715,0.082474224
0.14285715,0.088495575
0.14285715,0.20952381
0.14285715,0.14432989
0.14285715,0.097826086
0.11111111,0.05376344
0.14285715,0.115384616
0.125,0.16535433
0.14285715,0.060344826
0.06666667,0.10810811
0.14285715,0.06666667
0.14285715,0.045454547
0.14285715,0.18867925
0.14285715,0.26436782
0.14285715,0.05263158
0.1,0.09016393
0.14285715,0.15151516
0.10526316,0.26229507
0.14285715,0.17479675
0.14285715,0.093023255
0.16666667,0.048780486
0.10526316,0.17
0.14285715,0.06481481
0.14285715,0.08411215
0.14285715,0.07079646
0.14285715,0.08695652
0.14285715,0.06818182
0.45454547,0.069767445
0.14285715,0.16666667
0.14285715,0.12087912
0.14285715,0.12820514
0.14285715,0.16666667
0.14285715,0.07272727
0.125,0.06122449
0.125,0.088495575
0.14285715,0.11627907
0.14285715,0.16410257
0.10526316,0.09677419
0.14285715,0.16666667
0.11764706,0.07692308
0.14285715,0.056497175
0.14285715,0.05376344
0.14285715,0.082474224
0.14285715,0.1
0.14285715,0.0754717
0.14285715,0.045454547
0.14285715,0.08411215
0.14285715,0.12686567
0.14285715,0.0776699
0.14285715,0.09090909
0.10526316,0.05376344
0.14285715,0.11029412
0.14285715,0.10526316
0.14285715,0.12608695
0.13333334,0.20535715
0.14285715,0.18571429
0.14285715,0.23529412
0.10526316,0.15384616
0.11111111,0.10526316
0.14285715,0.05376344
0.0952381,0.13725491
0.083333336,0.12962963
0.14285715,0.09090909
0.14285715,0.07608695
0.13333334,0.26229507
0.45454547,0.08490566
0.14285715,0.11447811
0.14285715,0.13636364
0.14285715,0.1092437
0.14285715,0.054945055
0.14285715,0.1
0.14285715,0.20952381
0.14285715,0.08163265
0.125,0.19327731
0.6,0.9756098
0.14285715,0.09756097
0.14285715,0.13533835
0.04,0.22285715
