firstSim,secondSim,id1,id2
0.19827586,0.09105431,L02,Multiple
0.17741935,0.2179676,L02,Multiple
0.078125,0.18168168,L02,L02
0.2090909,0.14483821,L02,Multiple
0.12096774,0.17857143,L02,L02
0.24731183,0.16363636,L02,Multiple
0.08411215,0.25504324,L02,L02
0.14285715,0.14622642,L02,L02
0.20175439,0.23353294,L02,Multiple
0.116504855,0.26895565,L02,L02
0.08196721,0.22238587,L02,L02
0.08196721,0.19111112,L02,L02
0.08411215,0.27298445,L02,L02
0.08196721,0.18035191,L02,L02
0.08928572,0.59183675,L02,L02
0.1,0.7130584,H01,H01
0.27906978,0.5672334,H01,Multiple
0.27906978,0.6230032,H01,H01
0.33333334,0.7380952,H01,H01
0.82978725,0.91238093,H01,H01
0.21538462,0.61736333,H01,H01
0.2,0.65108514,H01,Multiple
0.2,0.6571906,H01,H01
0.1923077,0.63175124,H01,H01
0.08928572,0.6509275,H01,H01
0.2857143,0.51155627,H01,H01
0.17142858,0.17152104,Multiple,Multiple
0.08791209,0.17272727,Multiple,Multiple
0.23529412,0.21364452,Multiple,A11
0.06451613,0.1607717,Multiple,A11
0.24242425,0.18858561,Multiple,A11
0.06451613,0.15915915,Multiple,A11
0.11764706,0.4587156,Multiple,A11
0.06451613,0.15686275,Multiple,A11
0.056603774,0.20819113,Multiple,Multiple
0.06451613,0.13694267,Multiple,A11
0.06451613,0.17177914,Multiple,A11
0.064935066,0.2508711,Multiple,Multiple
0.31578946,0.15302491,Multiple,A11
0.10810811,0.24719101,Multiple,A11
0.33333334,0.1388889,Multiple,A11
0.10810811,0.2260274,Multiple,A11
0.22916667,0.17408907,Multiple,A11
0.10810811,0.24427481,Multiple,A11
0.13095239,0.14385965,Multiple,Multiple
0.0625,0.23880596,Multiple,Multiple
0.08064516,0.17016807,Multiple,Multiple
0.3809524,0.25762713,Multiple,Multiple
0.3809524,0.30522087,Multiple,S01
0.104166664,0.11643836,Multiple,Multiple
0.035714287,0.13095239,Multiple,Multiple
0.26086956,0.27222222,Multiple,S01
0.078431375,0.22039473,Multiple,Multiple
0.084745765,0.1253406,Multiple,S01
0.3809524,0.26811594,Multiple,Multiple
0.0625,0.18611111,Multiple,Multiple
0.10909091,0.12903225,Multiple,Multiple
0.25,0.15517241,Multiple,S01
0.3809524,0.25,Multiple,Multiple
0.06790123,0.24595469,Multiple,S01
0.0877193,0.1923077,Multiple,Multiple
0.13157895,0.24671917,Multiple,Multiple
0.073529415,0.1661721,Multiple,Multiple
0.09090909,0.11658031,Multiple,S01
0.08571429,0.21542554,Multiple,Multiple
0.05952381,0.1875,Multiple,Multiple
0.08064516,0.14076246,Multiple,Multiple
0.073529415,0.12610619,Multiple,Multiple
0.13157895,0.23765433,Multiple,Multiple
0.09090909,0.092150174,Multiple,Multiple
0.07017544,0.13937283,Multiple,Multiple
0.3809524,0.25405404,Multiple,Multiple
0.3809524,0.25270757,Multiple,Multiple
0.26086956,0.2607143,Multiple,S01
0.0625,0.21276596,Multiple,Multiple
0.1923077,0.09756097,Multiple,S01
0.073529415,0.17272727,Multiple,Multiple
0.13157895,0.1981132,Multiple,Multiple
0.065789476,0.18965517,Multiple,Multiple
0.16666667,0.29218107,Multiple,Multiple
0.11363637,0.24626866,Multiple,Multiple
0.09090909,0.14945056,Multiple,Multiple
0.08196721,0.21170396,Multiple,Multiple
0.07575758,0.21035598,Multiple,Multiple
0.07368421,0.13385826,Multiple,Multiple
0.1388889,0.20392157,Multiple,S01
0.13157895,0.15771812,Multiple,S01
0.064935066,0.091216214,Multiple,S01
0.3809524,0.26666668,Multiple,Multiple
0.1923077,0.16242662,Multiple,S01
0.3809524,0.26223776,Multiple,S01
0.1388889,0.22932331,Multiple,Multiple
0.3809524,0.24489796,Multiple,Multiple
0.15789473,0.21884498,Multiple,S01
0.052083332,0.24184783,Multiple,Multiple
0.07462686,0.15730338,Multiple,Multiple
0.08148148,0.17821783,Multiple,Multiple
0.09259259,0.15309446,Multiple,S01
0.08148148,0.09508197,Multiple,S01
0.14705883,0.14408602,Multiple,Multiple
0.08064516,0.14285715,Multiple,Multiple
0.13157895,0.23134328,Multiple,S01
0.094339624,0.19603524,Multiple,Multiple
0.12328767,0.30420712,Multiple,Multiple
0.09259259,0.27173913,Multiple,Multiple
0.08064516,0.13813815,Multiple,Multiple
0.10810811,0.19636364,Multiple,A11
0.14705883,0.14319809,Multiple,S01
0.16216215,0.21856287,Multiple,Multiple
0.14705883,0.20952381,Multiple,Multiple
0.114285715,0.16607143,Multiple,Multiple
0.03875969,0.15406163,Multiple,Multiple
0.08064516,0.18358532,Multiple,Multiple
0.1923077,0.06746032,Multiple,S01
0.08064516,0.16628702,Multiple,Multiple
0.23529412,0.08928572,Multiple,Multiple
0.1923077,0.18965517,Multiple,S01
0.0625,0.2874618,Multiple,S01
0.0625,0.25842696,Multiple,S01
0.082706764,0.25,Multiple,Multiple
0.3809524,0.26035503,Multiple,Multiple
0.13513513,0.2090909,Multiple,Multiple
0.073529415,0.10989011,Multiple,Multiple
0.094339624,0.13709678,Multiple,Multiple
0.10810811,0.2508834,Multiple,A11
0.08,0.21829855,Multiple,Multiple
0.07913669,0.15602838,Multiple,Multiple
0.08148148,0.13358779,Multiple,Multiple
0.073529415,0.12765957,Multiple,S01
0.12328767,0.31690142,Multiple,Multiple
0.4117647,0.13023256,A16,A16
0.36842105,0.20833333,A16,A16
0.22727273,0.4473684,A16,A16
0.06410257,0.20825852,Multiple,A11
0.33333334,0.8645833,Multiple,A11
0.064935066,0.15815085,Multiple,A11
0.33333334,0.764977,Multiple,A11
0.04464286,0.19771864,Multiple,A11
0.33333334,0.828125,Multiple,A11
