firstSim,secondSim,id1,id2
0.19827586,0.09105431,L02A,Multiple
0.17741935,0.2179676,L02A,Multiple
0.2090909,0.14483821,L02A,Multiple
0.24731183,0.16363636,L02A,Multiple
0.20175439,0.23353294,L02A,Multiple
0.33333334,0.7380952,H01B,H01B
0.82978725,0.91238093,H01B,H01B
0.2,0.65108514,H01C,Multiple
0.2,0.6571906,H01C,H01C
0.2857143,0.51155627,H01C,H01C
0.23529412,0.21364452,Multiple,A11H
0.11764706,0.4587156,Multiple,A11H
0.056603774,0.20819113,Multiple,Multiple
0.104166664,0.11643836,Multiple,Multiple
0.078431375,0.22039473,Multiple,Multiple
0.08196721,0.21170396,Multiple,Multiple
0.12328767,0.30420712,Multiple,Multiple
0.114285715,0.16607143,Multiple,Multiple
0.03875969,0.15406163,Multiple,Multiple
0.08,0.21829855,Multiple,Multiple
0.12328767,0.31690142,Multiple,Multiple
0.4117647,0.13023256,A16A,A16A
0.36842105,0.20833333,A16A,A16A
0.22727273,0.4473684,A16A,A16A
0.33333334,0.8645833,Multiple,A11C
0.33333334,0.764977,Multiple,A11C
0.33333334,0.828125,Multiple,A11C
0.2451613,0.21609196,Multiple,D05A
0.33333334,0.6238532,Multiple,A11C
0.33333334,0.9739583,Multiple,A11C
0.97183096,0.8423423,Multiple,D05A
0.2244898,0.15930901,A11H,A11H
0.06666667,0.17216118,A11H,Multiple
0.033333335,0.1356383,M01A,Multiple
0.072463766,0.10550459,M01A,M01A
0.072463766,0.13975155,M01A,Multiple
0.072463766,0.147929,M01A,M01A
0.045045044,0.10714286,M01A,Multiple
0.072463766,0.13427562,M01A,Multiple
0.072463766,0.10689655,M01A,M01A
0.072463766,0.11547344,M01A,Multiple
0.072463766,0.11666667,M01A,M01A
0.072463766,0.09556314,M01A,M01A
0.060344826,0.11481482,M01A,Multiple
0.028901733,0.11196911,M01A,M01A
0.072463766,0.104761906,M01A,Multiple
0.072463766,0.14444445,M01A,M01A
0.072463766,0.076,M01A,M01A
0.072463766,0.13963965,M01A,Multiple
0.054945055,0.13879004,M01A,Multiple
0.072463766,0.14470842,M01A,M01A
0.072463766,0.10788382,M01A,M01A
0.06410257,0.06716418,M01A,Multiple
0.072463766,0.14838709,M01A,M01A
0.072463766,0.1,M01A,Multiple
0.072463766,0.12182741,M01A,Multiple
0.072463766,0.12337662,M01A,M01A
0.09803922,0.22705314,M01A,M01A
0.072463766,0.12014134,M01A,M01A
0.072463766,0.11111111,M01A,M01A
0.04379562,0.12580645,M01A,Multiple
0.072463766,0.12944984,M01A,Multiple
0.072463766,0.14889705,M01A,M01A
0.97183096,0.8030303,A11C,A11C
0.97183096,0.9578313,A11C,A11C
0.97183096,0.61576355,A11C,A11C
0.97183096,0.8385417,A11C,A11C
0.09090909,0.11372549,C01E,C01E
0.044444446,0.068627454,C01E,Multiple
0.19512194,0.07762557,C01E,C01E
0.23076923,0.10465116,C01E,Multiple
0.07042254,0.13084112,C01E,Multiple
0.1764706,0.2204969,N06A,N06A
0.1764706,0.24931507,N06A,Multiple
0.2,0.2433735,N06A,N06A
0.16363636,0.2720588,N06A,Multiple
0.043165468,0.27272728,N06A,N06A
0.16666667,0.25862068,N06A,N06A
0.061452515,0.23890063,N06A,N06A
0.2037037,0.25882354,N06A,Multiple
0.08391608,0.44573644,N06A,Multiple
0.13157895,0.25925925,N06A,N06A
0.16363636,0.2195122,N06A,N06A
0.09448819,0.27272728,N06A,N06A
0.04897959,0.20560747,N06A,N06A
0.05381166,0.20135747,N06A,N06A
0.12987013,0.27930173,N06A,N06A
0.08208955,0.44573644,N06A,N06A
0.29166666,0.3478261,N06A,N06A
0.16071428,0.19248827,N06A,N06A
0.046692606,0.22701149,N06A,N06A
0.115384616,0.23571429,N06A,N06A
0.16981132,0.24637681,N06A,N06A
0.045801528,0.2611465,N06A,N06A
0.0625,0.19628099,N06A,N06A
0.072289154,0.44573644,N06A,N06A
0.3043478,0.11881188,N06A,N06A
0.10169491,0.24931507,N06A,N06A
0.06629834,0.39864865,N06A,N06A
0.29166666,0.14848486,N06A,N06A
0.29166666,0.1875,N06A,N06A
0.16666667,0.28521127,N06A,N06A
0.06043956,0.25510204,N06A,N06A
0.16666667,0.28015563,N06A,N06A
0.97183096,0.83246076,A11C,A11C
0.97183096,0.7828283,A11C,A11C
0.97183096,0.7830189,A11C,A11C
0.044176705,0.1460396,C10A,C10A
0.13928571,0.13930348,C10A,Multiple
0.044176705,0.14652957,C10A,C10A
0.044176705,0.13157895,C10A,C10A
0.17886178,0.12851405,C10A,Multiple
0.09016393,0.11016949,C10A,Multiple
0.25680932,0.11728395,C10A,Multiple
0.044176705,0.15119363,C10A,C10A
0.07984791,0.10786517,C10A,C10A
0.25680932,0.10982659,C10A,C10A
0.1360294,0.125,C10A,C10A
0.044176705,0.1634981,C10A,C10A
0.044176705,0.1264045,C10A,C10A
0.25680932,0.20118344,C10A,C10A
0.4319066,0.10483871,C10A,C10A
0.096551724,0.098522164,C10A,C10A
0.11111111,0.264574,A11H,Multiple
0.97183096,0.6212121,A11C,A11C
